sdm 2.06 beta
Input File:  several
Output File: Res1/tmpFiles//demulti.1.fna

Reads processed: 65,503,292; 65,503,292 (pair 1;pair 2)
Rejected: 45,771,042; 55,506,162
Accepted (High qual): 19,732,231; 9,996,834 (10,858,358; 24,680,738 end-trimmed)
Accepted (Mid qual): 19;296
Singletons among these: 0; 0
Bad Reads recovered with dereplication: 3,539,086
Min/Avg/Max stats Pair 1
     - sequence Length : 200/200/200
     - Quality :   27/33.8/38
     - Median sequence Length : 0, Quality : 0
     - Accum. Error 0.152
Trimmed due to:
  > 25 avg qual_ in 20 bp windows :         0; 0
  > (0.95) acc. errors, trimmed seqs :     0; 0
Rejected due to:
  < min Sequence length (200)  :                42,439,355; 55,496,364
       -after Quality trimming :           16,389,813; 27,292,405
  < avg Quality (27)  :                    0; 0
  < window (50 nt) avg. Quality (25)  :    735; 297
  > max Sequence length (1000)  :               0; 0
  > (8) homo-nt run  :                     18,685; 2,565
  > (0) amb. Bases  :                      193,621; 7,233
  > (2.7) binomial est. errors :           3,119,381; 0
Specific sequence searches:
  -With fwd Primer remaining (<= 0 mismatches) :           0; 0
  -Barcode unidentified (max 0 errors) :                   0

SampleID	Barcode	Instances
SMPL238		50,186
SMPL239		309,835
SMPL24		34,178
SMPL240		166,868
SMPL241		217,891
SMPL242		500
SMPL243		109,513
SMPL244		37,563
SMPL245		4,066
SMPL246		1,855
SMPL247		224,245
SMPL248		32,889
SMPL249		75
SMPL25		35,734
SMPL250		43,798
SMPL251		3,210
SMPL252		113
SMPL253		1,102
SMPL254		256,451
SMPL255		305
SMPL256		9,179
SMPL257		45,895
SMPL258		52,285
SMPL259		396,063
SMPL26		53,417
SMPL260		78,838
SMPL261		23,652
SMPL262		62,186
SMPL263		152,833
SMPL264		30,682
SMPL265		50,261
SMPL266		1,864
SMPL267		1,679
SMPL268		1,338
SMPL269		56,402
SMPL27		6
SMPL270		5,996
SMPL271		55,160
SMPL272		81,480
SMPL273		21,056
SMPL274		63,224
SMPL275		66,051
SMPL276		87,404
SMPL277		40,036
SMPL278		92,042
SMPL279		13,777
SMPL28		48,107
SMPL280		90,183
SMPL281		43,612
SMPL282		67,589
SMPL283		159,116
SMPL284		61,127
SMPL285		91,438
SMPL286		68,339
SMPL287		1,033
SMPL288		127,019
SMPL289		185,047
SMPL29		46
SMPL290		3,932
SMPL291		1,095
SMPL292		79,565
SMPL293		79,750
SMPL294		19,115
SMPL295		89,973
SMPL296		53,054
SMPL297		185,831
SMPL298		25,180
SMPL299		55,827
SMPL3		16,233
SMPL30		23
SMPL300		42,755
SMPL301		180,912
SMPL302		9,907
SMPL303		57,312
SMPL304		105,143
SMPL305		121,931
SMPL306		68,159
SMPL307		41,293
SMPL308		51,872
SMPL309		56,054
SMPL31		29
SMPL310		36,012
SMPL311		80,327
SMPL312		52,588
SMPL313		60,791
SMPL314		48,418
SMPL315		10,219
SMPL316		44,832
SMPL317		59,639
SMPL318		40,866
SMPL319		22,920
SMPL32		114,908
SMPL320		15,521
SMPL321		19,471
SMPL322		33,781
SMPL323		7,921
SMPL324		14,731
SMPL325		58,005
SMPL326		16,092
SMPL327		7,091
SMPL328		17,808
SMPL329		33,971
SMPL33		89,117
SMPL330		27,550
SMPL331		84,372
SMPL332		15,443
SMPL333		64,108
SMPL334		19,563
SMPL335		6,937
SMPL336		24,111
SMPL337		70,151
SMPL338		14,528
SMPL339		25,333
SMPL34		2,525
SMPL340		15,313
SMPL341		14,717
SMPL342		7,661
SMPL343		21,051
SMPL344		24,327
SMPL345		25,078
SMPL346		4,441
SMPL347		43,981
SMPL348		13,371
SMPL349		35,694
SMPL35		55,025
SMPL350		30,848
SMPL351		12,111
SMPL352		20,583
SMPL353		17,833
SMPL354		48,783
SMPL355		5,734
SMPL356		7,281
SMPL357		18,234
SMPL358		21,633
SMPL359		52,337
SMPL36		76,484
SMPL360		59,418
SMPL361		24,305
SMPL362		37,682
SMPL363		14,781
SMPL364		35,988
SMPL365		18,402
SMPL366		21,276
SMPL367		18,801
SMPL368		7,200
SMPL369		12,153
SMPL37		1,013
SMPL370		14,032
SMPL371		14,168
SMPL372		45,150
SMPL373		108,362
SMPL374		8,663
SMPL375		29,821
SMPL376		43,115
SMPL377		21,227
SMPL378		67,539
SMPL379		16,142
SMPL38		12,291
SMPL380		20,085
SMPL381		27,805
SMPL382		4,161
SMPL383		9,263
SMPL384		18,142
SMPL385		7,256
SMPL386		54,672
SMPL387		14,882
SMPL388		13,231
SMPL389		16,650
SMPL39		238,211
SMPL390		55,341
SMPL391		27,391
SMPL392		25,822
SMPL393		12,413
SMPL394		2,247
SMPL395		12,144
SMPL396		28,493
SMPL397		9,325
SMPL398		102,342
SMPL399		23,161
SMPL4		59,431
SMPL40		1,008
SMPL400		285
SMPL401		348
SMPL402		105,418
SMPL403		34,708
SMPL404		83,262
SMPL405		2,304
SMPL406		2,356
SMPL407		123
SMPL408		82
SMPL409		6,665
SMPL41		1
SMPL410		4,429
SMPL411		216
SMPL412		229
SMPL413		261
SMPL414		10,613
SMPL415		2,788
SMPL416		367,247
SMPL417		10,385
SMPL418		1,406
SMPL419		1,716
SMPL42		214
SMPL420		29,727
SMPL421		183
SMPL422		50,393
SMPL423		26,111
SMPL424		25
SMPL425		45,379
SMPL426		1,184
SMPL427		395
SMPL428		268,030
SMPL429		182
SMPL43		24,500
SMPL430		489
SMPL431		149,672
SMPL432		197,797
SMPL433		82,640
SMPL434		99
SMPL435		66,676
SMPL436		1,323
SMPL437		299
SMPL438		2,924
SMPL439		264
SMPL44		172,321
SMPL440		8,887
SMPL441		242
SMPL442		449
SMPL443		472
SMPL444		3,813
SMPL445		197,258
SMPL446		39
SMPL447		213
SMPL448		366
SMPL449		867
SMPL45		8
SMPL450		88,025
SMPL451		25,284
SMPL452		43,996
SMPL453		24,748
SMPL454		39,425
SMPL455		15,514
SMPL456		23,422
SMPL457		21,947
SMPL458		81,725
SMPL459		17,218
SMPL46		203,090
SMPL460		19,960
SMPL461		28,590
SMPL462		47,223
SMPL463		97,436
SMPL464		27,491
SMPL465		23,495
SMPL466		58,121
SMPL467		97,151
SMPL468		85,591
SMPL469		48,290
SMPL47		24,667
SMPL470		123,575
SMPL471		25,814
SMPL472		16,701
SMPL473		25,704
SMPL474		16,618
SMPL475		25,188
SMPL476		57,963
SMPL477		43,927
SMPL478		57,364
SMPL479		41,938
SMPL48		522
SMPL480		82,200
SMPL481		39,113
SMPL482		51,901
SMPL483		70,704
SMPL484		40,003
SMPL485		51,648
SMPL486		21,972
SMPL487		51,927
SMPL488		20,178
SMPL489		76,323
SMPL49		50,105
SMPL490		11,728
SMPL491		12,366
SMPL492		825
SMPL493		58,006
SMPL494		54,694
SMPL495		61,991
SMPL496		64,516
SMPL497		69,750
SMPL498		21,832
SMPL499		811
SMPL5		14,211
SMPL50		11,353
SMPL500		6,742
SMPL501		26,160
SMPL502		806
SMPL503		82,755
SMPL504		255
SMPL505		41,478
SMPL506		85
SMPL507		4,490
SMPL508		5,952
SMPL509		4,508
SMPL51		35
SMPL510		3,456
SMPL511		5,211
SMPL512		3,894
SMPL513		5,520
SMPL514		4,358
SMPL515		25,114
SMPL516		4,876
SMPL517		5,985
SMPL518		5,094
SMPL519		4,427
SMPL52		12,324
SMPL520		2,907
SMPL521		4,614
SMPL522		4,560
SMPL523		3,099
SMPL53		10,397
SMPL54		1
SMPL55		14
SMPL56		7
SMPL57		340,940
SMPL58		63,629
SMPL59		12,649
SMPL6		64,526
SMPL60		3,602
SMPL61		73
SMPL62		50,445
SMPL63		1,931
SMPL64		168,327
SMPL65		108,335
SMPL66		35,792
SMPL67		4
SMPL68		65,014
SMPL69		99,001
SMPL7		67,163
SMPL70		89,146
SMPL71		23,901
SMPL72		7
SMPL73		8
SMPL74		10,746
SMPL75		205
SMPL76		11,942
SMPL77		3
SMPL78		19
SMPL79		3,332
SMPL8		30,515
SMPL80		277
SMPL81		15,000
SMPL82		51
SMPL83		98,937
SMPL84		57
SMPL85		13,367
SMPL86		19,001
SMPL87		24
SMPL88		61,666
SMPL89		12,483
SMPL9		137,727
SMPL90		102,542
SMPL91		2,007
SMPL92		28,983
SMPL93		6,609
SMPL94		17,326
SMPL95		529
SMPL96		122,936
SMPL97		10,086
SMPL98		32,662
SMPL99		160,467
